Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
82,5003235369,DollarBillW (5/5),419.23,17.5,C Auston Matthews C LOCKED D Noah Dobson D Jake McCabe G Jet Greaves UTIL LOCKED W William Nylander W Matthew Knies W LOCKED,,Will Cuylle,W,1.76%,0
83,5003374347,luckyguesses (2/5),379.23,17.400002,C Joel Eriksson Ek C Charlie Coyle D Quinn Hughes D LOCKED G Spencer Knight UTIL Kirill Kaprizov W Matt Boldy W Cole Sillinger W Miles Wood,,Tom Wilson,UTIL,1.76%,0
84,5003061035,hopkinst,417.34,17.3,C Connor McDavid C LOCKED D Travis Sanheim D Cam York G Jesper Wallstedt UTIL LOCKED W Zach Hyman W Ryan Nugent-Hopkins W Josh Doan,,Dylan Strome,C,1.76%,1.5
85,5002762102,I_Slewfoot_U (2/5),378.46002,17.2,C Connor McDavid C LOCKED D Evan Bouchard D Artyom Levshunov G Tristan Jarry UTIL Yegor Chinakhov W Zach Hyman W Ryan Nugent-Hopkins W Nick Lardis,,J.J. Moser,D,1.76%,2.8
86,5002960764,nolt0032 (5/5),420,16.900002,C Adam Fantilli C LOCKED D Zach Werenski D LOCKED G Dennis Hildeby UTIL LOCKED W Matt Boldy W Kirill Marchenko W Dmitri Voronkov,,Michael Amadio,W,1.76%,0
86,5003041599,jagibbs22 (1/4),480,16.9,C LOCKED C LOCKED D Zach Werenski D Quinn Hughes G Logan Thompson UTIL LOCKED W LOCKED W LOCKED W LOCKED,,Carl Grundstrom,W,1.76%,0
88,5003128773,Hunter4ever89 (2/5),425.78,16.7,C Connor McDavid C LOCKED D Rasmus Ristolainen D Ryan McDonagh G Dennis Hildeby UTIL LOCKED W Zach Hyman W Ryan Nugent-Hopkins W LOCKED,,Jordan Spence,D,1.76%,1.5
88,5003128775,Hunter4ever89 (4/5),405.01,16.7,C Connor McDavid C LOCKED D Alexandre Carrier D Ryan McDonagh G Dennis Hildeby UTIL Rasmus Ristolainen W Zach Hyman W Ryan Nugent-Hopkins W LOCKED,,Tommy Novak,C,1.76%,0
90,5002650422,tide182 (2/2),480,16.5,C Tim Stuetzle C LOCKED D LOCKED D LOCKED G Igor Shesterkin UTIL LOCKED W Brady Tkachuk W Fabian Zetterlund W LOCKED,,Noah Cates,UTIL,1.76%,10
90,5002896802,bkreider (2/5),460,16.5,C Tim Stuetzle C Mika Zibanejad D Jake Sanderson D LOCKED G Igor Shesterkin UTIL LOCKED W Brady Tkachuk W Fabian Zetterlund W LOCKED,,J.T. Miller,W,1.76%,0
90,5002939388,dfssheets (2/2),398.46,16.5,C Joel Eriksson Ek C Tim Stuetzle D LOCKED D LOCKED G Dennis Hildeby UTIL Kirill Kaprizov W Matt Boldy W Zack Bolduc W Brendan Gallagher,,Nick Suzuki,C,1.76%,0
93,5003369590,tonymilanese13,500,16.3,C LOCKED C LOCKED D Jakob Chychrun D Charlie McAvoy G LOCKED UTIL LOCKED W LOCKED W LOCKED W LOCKED,,Cole Caufield,W,1.76%,6.5
94,5003433684,FantasySultan,431.56,15.2,C Tage Thompson C Tim Stuetzle D Jake Sanderson D Rasmus Dahlin G Dennis Hildeby UTIL LOCKED W Brady Tkachuk W LOCKED W LOCKED,,Samuel Ersson,G,1.76%,-2.1
95,5002725163,HossDaBeast (3/5),460,14.5,C Mika Zibanejad C Dylan Strome D Jakob Chychrun D LOCKED G Igor Shesterkin UTIL Alexis Lafreniere W Alex Ovechkin W Tom Wilson W Will Cuylle,,Anthony Beauvillier,W,1.76%,0
96,5003435105,HubRats,405.01,14.3,C Connor McDavid C Elias Lindholm D Louis Crevier D LOCKED G LOCKED UTIL Travis Konecny W Matt Boldy W Zach Hyman W Anthony Mantha,,Trevor Zegras,W,1.18%,0
97,5003455215,gustavo0413 (3/3),459.23,13.7,C LOCKED C LOCKED D Jakob Chychrun D LOCKED G Spencer Knight UTIL LOCKED W Alex Ovechkin W Anthony Beauvillier W LOCKED,,Ivan Provorov,D,1.18%,0
97,5002960761,nolt0032 (2/5),359.23,13.7,C Connor McDavid C Leon Draisaitl D Erik Karlsson D Jordan Spence G Spencer Knight UTIL Anthony Mantha W Morgan Geekie W Claude Giroux W Michael Amadio,,Artem Zub,D,1.18%,0
99,5003402622,SkullandCrossbones,420,13.6,C Tim Stuetzle C LOCKED D Erik Karlsson D LOCKED G Jesper Wallstedt UTIL LOCKED W Matt Boldy W Drake Batherson W Vladimir Tarasenko,,Matt Savoie,W,1.18%,0
100,5003499267,isupol (5/5),425.78,13.499999,C Elias Lindholm C LOCKED D Charlie McAvoy D LOCKED G Dennis Hildeby UTIL Zach Benson W David Pastrnak W Morgan Geekie W LOCKED,,Noah Ostlund,W,1.18%,1.5
101,5003569221,ekim8,420,13.400001,C Elias Lindholm C LOCKED D Charlie McAvoy D Jared Spurgeon G Jesper Wallstedt UTIL LOCKED W David Pastrnak W Morgan Geekie W LOCKED,,Danila Yurov,C,1.18%,0
102,5002815589,chefmed804,360,13,C Brayden Point C Dylan Cozens D Darren Raddysh D Andrew Peeke G Dennis Hildeby UTIL David Perron W Nikita Kucherov W Jake Guentzel W Drake Batherson,,John Carlson,D,1.18%,5
103,5002623505,Cicima6709 (2/5),440,12.900001,C LOCKED C LOCKED D Brock Faber D Jake McCabe G Dennis Hildeby UTIL LOCKED W Rickard Rakell W Anthony Mantha W LOCKED,,Jamie Drysdale,D,1.18%,0
104,5002909801,clothsofheaven (4/5),431.56,12.8,C Anthony Cirelli C LOCKED D Travis Sanheim D Drew Doughty G LOCKED UTIL LOCKED W Nikita Kucherov W Jake Guentzel W Travis Konecny,,Ryan Greene,C,1.18%,1.3
105,5002742838,jdmercer,411.56,12.7,C Josh Norris C LOCKED D Darren Raddysh D LOCKED G Andrei Vasilevskiy UTIL Anthony Mantha W Kirill Kaprizov W Matt Boldy W Alex Tuch,,Aliaksei Protas,W,1.18%,10
106,5003539418,madbx8,445.78,12,C Connor McDavid C Leon Draisaitl D Darnell Nurse D LOCKED G Samuel Ersson UTIL Pavel Buchnevich W Zach Hyman W LOCKED W LOCKED,,Arturs Silovs,G,1.18%,0.7
107,5003136111,q80minouma,377.34,11.8,C Connor McDavid C Dylan Cozens D Darren Raddysh D Cam York G Jesper Wallstedt UTIL Travis Konecny W Zach Hyman W Josh Doan W Anthony Mantha,,Tristan Jarry,G,1.18%,0.7
108,5002909802,clothsofheaven (5/5),420,11.7,C LOCKED C LOCKED D Darren Raddysh D Ryan McDonagh G Dennis Hildeby UTIL LOCKED W David Pastrnak W Morgan Geekie W Oliver Bjorkstrand,,Mason Lohrei,D,1.18%,0
109,5003128389,rahmanisayev,425.78,11.6,C Dylan Cozens C LOCKED D Rasmus Ristolainen D LOCKED G Jesper Wallstedt UTIL Matt Boldy W Kirill Kaprizov W Drake Batherson W LOCKED,,Drew Doughty,D,1.18%,0
109,5002971003,LushyLeanPocket,396.56998,11.6,C Christian Dvorak C Jason Dickinson D Quinn Hughes D Travis Sanheim G LOCKED UTIL Travis Konecny W Kirill Kaprizov W Matt Boldy W Vladimir Tarasenko,,Adrian Kempe,UTIL,1.18%,1.3
111,5002896801,bkreider (1/5),460,11.3,C Elias Lindholm C LOCKED D Charlie McAvoy D LOCKED G LOCKED UTIL Nikita Kucherov W David Pastrnak W LOCKED W LOCKED,,Braden Schneider,D,1.18%,0
112,5003419706,gmilhaupt87,385.78,11.2,C Joel Eriksson Ek C Ridly Greig D Jake Sanderson D Ryan McDonagh G Andrei Vasilevskiy UTIL LOCKED W Kirill Kaprizov W Matt Boldy W Alex Tuch,,Matvei Michkov,W,1.18%,0
113,5002951947,DALLASTILL (1/2),391.56,11,C Connor McDavid C Christian Dvorak D Evan Bouchard D Jake Sanderson G LOCKED UTIL Ryan McDonagh W Zach Hyman W Josh Doan W Fabian Zetterlund,,Connor McMichael,W,1.18%,5
114,5002725162,HossDaBeast (2/5),371.56,10.900001,C Tage Thompson C Sidney Crosby D Erik Karlsson D Ryan McDonagh G Jeremy Swayman UTIL Josh Doan W Bryan Rust W Rickard Rakell W Anthony Mantha,,Louis Crevier,D,1.18%,0
115,5003138160,FatsoFat6969 (1/2),451.56,10.8,C Joel Eriksson Ek C LOCKED D Quinn Hughes D Cam York G LOCKED UTIL LOCKED W Kirill Kaprizov W Bobby Brink W LOCKED,,Mattias Ekholm,D,1.18%,1.5
116,5003374348,luckyguesses (3/5),440,10.7,C Connor McDavid C Leon Draisaitl D Evan Bouchard D LOCKED G Tristan Jarry UTIL LOCKED W Zach Hyman W LOCKED W LOCKED,,Auston Matthews,C,1.18%,1.5
117,5003333440,jakepstl84,460,10.6,C Connor McDavid C Leon Draisaitl D Quinn Hughes D LOCKED G Jesper Wallstedt UTIL Dalibor Dvorsky W Jonatan Berggren W LOCKED W LOCKED,,William Nylander,W,1.18%,1.5
117,5002875228,mbhabes,371.56,10.6,C Sidney Crosby C Ryan McLeod D Evan Bouchard D Erik Karlsson G Arturs Silovs UTIL Alex Tuch W Bryan Rust W Rickard Rakell W Anthony Mantha,,Matthew Knies,W,1.18%,0
119,5003090285,Domdee21,440,10.3,C Dylan Cozens C LOCKED D Brock Faber D LOCKED G Jesper Wallstedt UTIL LOCKED W Drake Batherson W David Perron W LOCKED,,Jet Greaves,G,1.18%,6.3
120,5003429997,isupol (2/5),440,10.2,C Brayden Point C LOCKED D Darren Raddysh D LOCKED G Dennis Hildeby UTIL Alexis Lafreniere W Nikita Kucherov W Oliver Bjorkstrand W LOCKED,,Scott Morrow,D,1.18%,0
121,5002960762,nolt0032 (3/5),439.23,10,C Leon Draisaitl C Elias Lindholm D Artyom Levshunov D LOCKED G LOCKED UTIL LOCKED W David Pastrnak W Morgan Geekie W LOCKED,,Pavel Buchnevich,W,1.18%,0
122,5003070551,aclederer,425.78,9.3,C Connor McDavid C LOCKED D Travis Sanheim D LOCKED G Jesper Wallstedt UTIL Leon Draisaitl W Zach Hyman W Vasily Podkolzin W LOCKED,,Hampus Lindholm,D,0.59%,0
122,5002723252,gustavo0413 (2/3),420,9.3,C Connor McDavid C Elias Lindholm D Hampus Lindholm D LOCKED G Jesper Wallstedt UTIL LOCKED W Morgan Geekie W Zach Hyman W LOCKED,,Tyler Kleven,D,0.59%,0
122,5003091944,reign0187,419.23,9.3,C Connor McDavid C Leon Draisaitl D Mason Lohrei D Louis Crevier G Jesper Wallstedt UTIL LOCKED W Zach Hyman W LOCKED W LOCKED,,Alexey Toropchenko,W,0.59%,0
125,5002784672,Dradt8386 (1/2),440,9.1,C LOCKED C LOCKED D Charle-Edouard D'Astous D LOCKED G Joseph Woll UTIL Anthony Cirelli W Nikita Kucherov W Morgan Geekie W LOCKED,,Justin Sourdif,C,0.59%,5
126,5002725164,HossDaBeast (4/5),420,8.7,C Connor McDavid C Leon Draisaitl D Ryan McDonagh D LOCKED G Dennis Hildeby UTIL LOCKED W Matt Savoie W Vasily Podkolzin W LOCKED,,Artemi Panarin,UTIL,0.59%,0
127,5002643681,Cicima6709 (5/5),460,8.599999,C LOCKED C LOCKED D Brock Faber D Jake McCabe G Dennis Hildeby UTIL LOCKED W Anthony Mantha W LOCKED W LOCKED,,Teuvo Teravainen,W,0.59%,0
128,5003059821,Starsfan10,440,8.5,C Elias Lindholm C LOCKED D Charlie McAvoy D LOCKED G Dennis Hildeby UTIL LOCKED W David Pastrnak W Morgan Geekie W J.T. Miller,,Charle-Edouard D'Astous,D,0.59%,4.1
129,5002575202,deuceswildixi (1/2),440,8.400001,C Adam Fantilli C LOCKED D Ivan Provorov D Jared Spurgeon G LOCKED UTIL Dmitri Voronkov W Kirill Marchenko W LOCKED W LOCKED,,Joseph Woll,G,0.59%,0
129,5002585213,deuceswildixi (2/2),440,8.400001,C Adam Fantilli C LOCKED D Ivan Provorov D Jared Spurgeon G LOCKED UTIL Dmitri Voronkov W Kirill Marchenko W LOCKED W LOCKED,,Andrew Peeke,D,0.59%,0
129,5002960763,nolt0032 (4/5),360,8.400001,C Brayden Point C Ridly Greig D Darren Raddysh D Drew Doughty G Jeremy Swayman UTIL Adrian Kempe W Nikita Kucherov W Jake Guentzel W Claude Giroux,,Anton Forsberg,G,0.59%,3.5
132,5003104994,tmuellii,460,7.8,C Connor McDavid C Dylan Cozens D Nikita Zadorov D LOCKED G LOCKED UTIL LOCKED W Morgan Geekie W LOCKED W LOCKED,,Sean Couturier,C,0.59%,1.5
133,5002865426,giantsquid (3/3),425.78,7.700001,C Sidney Crosby C LOCKED D Erik Karlsson D LOCKED G Jesper Wallstedt UTIL LOCKED W Bryan Rust W Rickard Rakell W Alex Tuch,,Owen Tippett,W,0.59%,1.5
134,5002726064,tommybomb7 (5/5),358.46,7.5,C Joel Eriksson Ek C Ryan Greene D Quinn Hughes D J.J. Moser G Jesper Wallstedt UTIL Kirill Kaprizov W Matt Boldy W Vladimir Tarasenko W Nick Lardis,,Bowen Byram,D,0.59%,0
135,5002762104,I_Slewfoot_U (4/5),459.23,7.1000004,C Sidney Crosby C Mika Zibanejad D LOCKED D LOCKED G Igor Shesterkin UTIL Artemi Panarin W Bryan Rust W Rickard Rakell W Teuvo Teravainen,,Alexandre Texier,W,0.59%,1.5
135,5002721695,Sam6082,405.78,7.1000004,C Sidney Crosby C Elias Lindholm D Jamie Drysdale D LOCKED G Jeremy Swayman UTIL LOCKED W David Pastrnak W Morgan Geekie W Bryan Rust,,Brendan Gallagher,W,0.59%,0
137,5003374349,luckyguesses (4/5),359.23,6.6000004,C John Tavares C Joel Eriksson Ek D Brock Faber D Connor Murphy G Jesper Wallstedt UTIL Kirill Kaprizov W Matt Boldy W Easton Cowan W Nicholas Robertson,,Jason Dickinson,C,0.59%,1.5
138,5002932704,beardedbum (1/2),436.56998,6.5,C Connor McDavid C LOCKED D Rasmus Dahlin D LOCKED G Dennis Hildeby UTIL Tage Thompson W Alex Tuch W Alexandre Texier W LOCKED,,Frank Nazar,C,0.59%,11.3
139,5002650421,tide182 (1/2),440,6.3,C Leon Draisaitl C LOCKED D Quinn Hughes D LOCKED G LOCKED UTIL LOCKED W Vladimir Tarasenko W Matt Savoie W Vasily Podkolzin,,Andre Burakovsky,W,0.59%,5
140,5002762103,I_Slewfoot_U (3/5),360,6.2,C Joel Eriksson Ek C Ridly Greig D Quinn Hughes D J.J. Moser G Jeremy Swayman UTIL David Perron W Kirill Kaprizov W Matt Boldy W Vladimir Tarasenko,,Matt Grzelcyk,D,0.59%,6.5
141,5002784673,Dradt8386 (2/2),400,5.8,C Connor McDavid C Ridly Greig D Darren Raddysh D LOCKED G Jesper Wallstedt UTIL LOCKED W Zach Hyman W Claude Giroux W Michael Amadio,,Logan Thompson,G,0.59%,2.8
142,5003275107,papas1175,459.23,5.7,C Connor McDavid C LOCKED D Scott Morrow D LOCKED G Spencer Knight UTIL Danila Yurov W Vladimir Tarasenko W Gabe Perreault W LOCKED,,Justin Brazeau,UTIL,0.59%,4.1
142,5002571535,saulgoodman23 (5/5),438.46002,5.7,C Connor McDavid C LOCKED D Evan Bouchard D LOCKED G Spencer Knight UTIL LOCKED W Zach Hyman W Nick Lardis W LOCKED,,Wyatt Kaiser,D,0.59%,0
144,5002723251,gustavo0413 (1/3),520,5.6,C LOCKED C LOCKED D LOCKED D LOCKED G Andrei Vasilevskiy UTIL LOCKED W LOCKED W LOCKED W LOCKED,,Michael Kesselring,D,0.59%,0
144,5003257907,cw279 (1/3),385.78,5.6,C Joel Eriksson Ek C Ridly Greig D Nikita Zadorov D Rasmus Ristolainen G LOCKED UTIL Matt Boldy W Kirill Kaprizov W David Pastrnak W Claude Giroux,,Owen Power,D,0.59%,1.3
144,5003258169,cw279 (3/3),385.78,5.6,C Joel Eriksson Ek C Ridly Greig D Nikita Zadorov D Rasmus Ristolainen G Igor Shesterkin UTIL Matt Boldy W Kirill Kaprizov W David Pastrnak W Claude Giroux,,Casey Mittelstadt,W,0.59%,3
147,5002726060,tommybomb7 (1/5),376.92,5.3999996,C Joel Eriksson Ek C Ryan Greene D Quinn Hughes D Artyom Levshunov G LOCKED UTIL Ivan Demidov W Kirill Kaprizov W Matt Boldy W Nick Lardis,,Marat Khusnutdinov,W,0.59%,1.3
148,5003334511,Boyd10stl,430.79,5,C Sidney Crosby C LOCKED D Erik Karlsson D LOCKED G Spencer Knight UTIL Josh Norris W Rickard Rakell W Josh Doan W LOCKED,,Mattias Samuelsson,D,0.59%,6.3
149,5003477816,tsteffes78,420,4.9000006,C Tommy Novak C LOCKED D Quinn Hughes D LOCKED G Jesper Wallstedt UTIL LOCKED W Kirill Kaprizov W Matt Boldy W Anthony Mantha,,Noah Dobson,D,0.59%,1.3
149,5002865425,giantsquid (2/3),400,4.9,C Joel Eriksson Ek C LOCKED D Quinn Hughes D Ryan McDonagh G Jesper Wallstedt UTIL LOCKED W Kirill Kaprizov W Matt Boldy W Vladimir Tarasenko,,Kent Johnson,UTIL,0.59%,0
149,5003586494,tecmo27 (2/5),380,4.9,C Joel Eriksson Ek C Ridly Greig D Quinn Hughes D Ryan McDonagh G Jesper Wallstedt UTIL LOCKED W Kirill Kaprizov W Matt Boldy W Vladimir Tarasenko,,Gabe Perreault,W,0.59%,0
149,5003258054,cw279 (2/3),365.78,4.9,C Joel Eriksson Ek C Ridly Greig D Nikita Zadorov D Rasmus Ristolainen G Jesper Wallstedt UTIL Matt Boldy W Kirill Kaprizov W David Pastrnak W Claude Giroux,,Dalibor Dvorsky,UTIL,0.59%,0
153,5002639434,Cicima6709 (4/5),500,4.5,C Mika Zibanejad C LOCKED D Brock Faber D LOCKED G LOCKED UTIL LOCKED W Will Cuylle W Alexis Lafreniere W Anthony Mantha,,Jonatan Berggren,W,0.59%,0
154,5003526745,xPipeDreams,451.56,4.4,C Elias Lindholm C LOCKED D LOCKED D LOCKED G Samuel Ersson UTIL Travis Konecny W David Pastrnak W Morgan Geekie W LOCKED,,Morgan Rielly,D,0.59%,1.3
155,5003118378,TheWrightDude,480,4.3,C LOCKED C LOCKED D Mattias Ekholm D LOCKED G LOCKED UTIL LOCKED W Kirill Kaprizov W Matt Boldy W J.T. Miller,,Charlie Coyle,C,0.59%,6.3
155,5003235365,DollarBillW (1/5),440,4.3,C Joel Eriksson Ek C LOCKED D Ryan McDonagh D LOCKED G LOCKED UTIL LOCKED W Kirill Kaprizov W Matt Boldy W Vladimir Tarasenko,,Cole Sillinger,W,0.59%,5
157,5003001034,weisserman13,480,4.1,C Mika Zibanejad C LOCKED D Quinn Hughes D LOCKED G Igor Shesterkin UTIL LOCKED W Kirill Kaprizov W Matt Boldy W Alexis Lafreniere,,Miles Wood,W,0.59%,1.3
158,5002964062,Smack817,420,3.6000001,C Tommy Novak C LOCKED D Erik Karlsson D Jared Spurgeon G Jesper Wallstedt UTIL LOCKED W Vladimir Tarasenko W Anthony Mantha W LOCKED,,John Tavares,C,0.59%,1.5
159,5002802336,BroncsRocks,440,2.2,C Connor McDavid C LOCKED D Mason Lohrei D LOCKED G Dennis Hildeby UTIL LOCKED W Zach Hyman W Vasily Podkolzin W LOCKED,,Easton Cowan,W,0.59%,0
160,5003146123,ejamiec,471.56,2.1,C LOCKED C LOCKED D Nikita Zadorov D LOCKED G Jeremy Swayman UTIL Rasmus Ristolainen W Carl Grundstrom W LOCKED W LOCKED,,Nicholas Robertson,W,0.59%,0
160,5002909798,clothsofheaven (1/5),437.34,2.1,C Tage Thompson C LOCKED D Quinn Hughes D Rasmus Dahlin G Jesper Wallstedt UTIL Vladimir Tarasenko W Josh Doan W LOCKED W LOCKED,,Connor Murphy,D,0.59%,0
162,5003374346,luckyguesses (1/5),440,1.5000002,C Auston Matthews C LOCKED D Morgan Rielly D Braden Schneider G Dennis Hildeby UTIL LOCKED W William Nylander W Matthew Knies W LOCKED,,Anze Kopitar,UTIL,0.59%,0
162,5002725552,OneDropKing (3/5),525.78,1.5,C LOCKED C LOCKED D Cam York D LOCKED G LOCKED UTIL LOCKED W LOCKED W LOCKED W LOCKED,,Yanni Gourde,C,0.59%,3
162,5002725554,OneDropKing (5/5),525.78,1.5,C LOCKED C LOCKED D Cam York D LOCKED G LOCKED UTIL LOCKED W Will Cuylle W LOCKED W LOCKED,,Jordan Binnington,G,0.59%,0
162,5002725550,OneDropKing (1/5),497.34,1.5,C Tage Thompson C LOCKED D Rasmus Dahlin D LOCKED G LOCKED UTIL LOCKED W Josh Doan W LOCKED W LOCKED,,Justin Faulk,D,0.59%,0
162,5002725551,OneDropKing (2/5),497.34,1.5,C Tage Thompson C LOCKED D Rasmus Dahlin D LOCKED G LOCKED UTIL LOCKED W Josh Doan W LOCKED W LOCKED,,Boone Jenner,W,0.59%,2.6
167,5002725553,OneDropKing (4/5),540,0,C LOCKED C LOCKED D LOCKED D LOCKED G LOCKED UTIL LOCKED W Alexey Toropchenko W LOCKED W LOCKED,,Dante Fabbro,D,0.59%,0
167,5003531670,hawkeyemcnutt (5/5),540,0,C LOCKED C LOCKED D LOCKED D LOCKED G LOCKED UTIL LOCKED W LOCKED W LOCKED W LOCKED,,Jakub Dobes,G,0.59%,-1.4
167,5002726061,tommybomb7 (2/5),525.78,0,C LOCKED C LOCKED D Travis Sanheim D LOCKED G LOCKED UTIL LOCKED W LOCKED W LOCKED W LOCKED,,Vincent Trocheck,UTIL,0.59%,0
170,5003460345,cdegey,520,-2.8,C LOCKED C LOCKED D Justin Faulk D LOCKED G Dennis Hildeby UTIL LOCKED W Pavel Buchnevich W LOCKED W LOCKED,,,
