Player,Position,Team
A.J. Greer,L,FLA
Aaron Ekblad,D,FLA
Aatu Raty,C,VAN
Adam Boqvist,D,NYI
Adam Edstrom,C,NYR
Adam Engstrom,D,MTL
Adam Erne,L,DAL
Adam Fantilli,C,CBJ
Adam Fox,D,NYR
Adam Gaudette,R,S.J
Adam Ginning,D,PHI
Adam Henrique,C,EDM
Adam Klapka,R,CGY
Adam Larsson,D,SEA
Adam Lowry,C,WPG
Adam Pelech,D,NYI
Adam Wilsby,D,NSH
Adin Hill,G,VGK
Adrian Kempe,R,L.A
Akira Schmid,G,VGK
Albert Johansson,D,DET
Alec Regula,D,EDM
Aleksanteri Kaskimaki,C,STL
Aleksei Kolosov,G,PHI
Alex DeBrincat,R,DET
Alex Iafallo,L,WPG
Alex Killorn,L,ANA
Alex Laferriere,R,L.A
Alex Lyon,G,BUF
Alex Nedeljkovic,G,S.J
Alex Newhook,C,MTL
Alex Ovechkin,L,WSH
Alex Petrovic,D,DAL
Alex Steeves,C,BOS
Alex Tuch,R,BUF
Alex Turcotte,C,L.A
Alex Vlasic,D,CHI
Alexander Holtz,R,VGK
Alexander Nikishin,D,CAR
Alexander Romanov,D,NYI
Alexander Wennberg,C,S.J
Alexandre Carrier,D,MTL
Alexandre Texier,L,"MTL, STL"
Alexey Toropchenko,R,STL
Alexis Lafrenière,L,NYR
Aliaksei Protas,C,WSH
Anders Lee,L,NYI
Andre Burakovsky,L,CHI
Andrei Kuzmenko,L,L.A
Andrei Svechnikov,R,CAR
Andrei Vasilevskiy,G,T.B
Andrew Agozzino,L,UTA
Andrew Copp,C,DET
Andrew Mangiapane,L,EDM
Andrew Peeke,D,BOS
Angus Crookshank,C,N.J
Anthony Beauvillier,L,WSH
Anthony Cirelli,C,T.B
Anthony Duclair,L,NYI
Anthony Mantha,R,PIT
Anthony Stolarz,G,TOR
Anton Forsberg,G,L.A
Anton Lundell,C,FLA
Anze Kopitar,C,L.A
Arber Xhekaj,D,MTL
Arseny Gritsyuk,R,N.J
Arshdeep Bains,L,VAN
Artem Zub,D,OTT
Artemi Panarin,L,NYR
Arthur Kaliyev,R,OTT
Artturi Lehkonen,L,COL
Artur Akhtyamov,G,TOR
Arturs Silovs,G,PIT
Artyom Levshunov,D,CHI
Arvid Soderblom,G,CHI
Auston Matthews,C,TOR
Axel Sandin-Pellikka,D,DET
Barclay Goodrow,C,S.J
Barrett Hayton,C,UTA
Beck Malenstyn,L,BUF
Beckett Sennecke,R,ANA
Ben Chiarot,D,DET
Ben Hutton,D,VGK
Ben Jones,C,MIN
Ben Kindel,C,PIT
Ben Meyers,C,SEA
Berkly Catton,C,SEA
Blake Coleman,L,CGY
Blake Lizotte,C,PIT
Bo Horvat,C,NYI
Bobby Brink,R,PHI
Bobby McMann,C,TOR
Bogdan Trineyev,R,WSH
Bokondji Imama,L,PIT
Boone Jenner,C,CBJ
Boris Katchouk,L,T.B
Bowen Byram,D,BUF
Brad Lambert,C,WPG
Brad Marchand,L,FLA
Braden Schneider,D,NYR
Bradly Nadeau,L,CAR
Brady Martin,C,NSH
Brady Skjei,D,NSH
Brady Tkachuk,L,OTT
Braeden Bowman,R,VGK
Braeden Cootes,C,VAN
Brandon Bussi,G,CAR
Brandon Carlo,D,TOR
Brandon Duhaime,R,WSH
Brandon Hagel,L,T.B
Brandon Halverson,G,T.B
Brandon Montour,D,SEA
Brandon Saad,L,VGK
Brandon Tanev,L,UTA
Brandt Clarke,D,L.A
Brayden McNabb,D,VGK
Brayden Pachal,D,CGY
Brayden Point,C,T.B
Brayden Schenn,C,STL
Brendan Gallagher,R,MTL
Brendan Gaunce,C,CBJ
Brendan Smith,D,CBJ
Brenden Dillon,D,N.J
Brennan Othmann,L,NYR
Brent Burns,D,COL
Brett Berard,L,NYR
Brett Howden,C,VGK
Brett Kulak,D,"EDM, PIT"
Brett Pesce,D,N.J
Brian Dumoulin,D,L.A
Brian Halonen,L,N.J
Brock Boeser,R,VAN
Brock Faber,D,MIN
Brock Nelson,C,COL
Bryan Rust,R,PIT
Cale Fleury,D,SEA
Cale Makar,D,COL
Caleb Jones,D,PIT
Calle Jarnkrok,C,TOR
Calum Ritchie,C,NYI
Calvin Pickard,G,EDM
Cam Fowler,D,STL
Cam Talbot,G,DET
Cam York,D,PHI
Carl Grundstrom,R,PHI
Carl Lindbom,G,VGK
Carson Soucy,D,NYR
Carter Hart,G,VGK
Carter Verhaeghe,C,FLA
Casey Cizikas,C,NYI
Casey DeSmith,G,DAL
Casey Mittelstadt,C,BOS
Cayden Primeau,G,TOR
Chandler Stephenson,C,SEA
Charle-Edouard D'Astous,D,T.B
Charles Alexis Legault,D,CAR
Charlie Coyle,C,CBJ
Charlie Lindgren,G,WSH
Charlie McAvoy,D,BOS
Chris Kreider,L,ANA
Chris Tanev,D,TOR
Christian Dvorak,C,PHI
Claude Giroux,R,OTT
Clayton Keller,R,UTA
Cody Ceci,D,L.A
Cody Glass,C,N.J
Cole Caufield,R,MTL
Cole Koepke,L,WPG
Cole Perfetti,C,WPG
Cole Reinhardt,L,VGK
Cole Schwindt,R,FLA
Cole Sillinger,C,CBJ
Cole Smith,R,NSH
Colin Blackwell,C,DAL
Colin Miller,D,WPG
Collin Graf,R,S.J
Colten Ellis,G,BUF
Colton Dach,C,CHI
Colton Parayko,D,STL
Colton Sissons,C,VGK
Colton White,D,N.J
Connor Bedard,C,CHI
Connor Brown,R,N.J
Connor Clattenburg,C,EDM
Connor Clifton,D,PIT
Connor Dewar,C,PIT
Connor Hellebuyck,G,WPG
Connor McDavid,C,EDM
Connor McMichael,C,WSH
Connor Murphy,D,CHI
Connor Zary,C,CGY
Conor Garland,R,VAN
Conor Geekie,C,T.B
Conor Sheary,L,NYR
Conor Timmins,D,BUF
Corey Perry,R,L.A
Curtis Douglas,C,T.B
Curtis Lazar,C,EDM
Cutter Gauthier,L,ANA
Daemon Hunt,D,MIN
Dakota Joshua,C,TOR
Dakota Mermis,D,TOR
Dalibor Dvorsky,R,STL
Damon Severson,D,CBJ
Dan Vladar,G,PHI
Daniil But,L,UTA
Daniil Miromanov,D,CGY
Daniil Tarasov,G,FLA
Danila Yurov,R,MIN
Dante Fabbro,D,CBJ
Danton Heinen,L,PIT
Darcy Kuemper,G,L.A
Darnell Nurse,D,EDM
Darren Raddysh,D,T.B
David Jiricek,D,MIN
David Kampf,C,VAN
David Pastrnak,R,BOS
David Perron,L,OTT
David Rittich,G,NYI
David Tomasek,R,EDM
Dawson Mercer,C,N.J
Declan Carlile,D,T.B
Declan Chisholm,D,WSH
Dennis Cholowski,D,N.J
Dennis Gilbert,D,OTT
Dennis Hildeby,G,TOR
Denton Mateychuk,D,CBJ
Derek Forbort,D,VAN
Devin Cooley,G,CGY
Devon Toews,D,COL
Dmitri Simashev,D,UTA
Dmitri Voronkov,L,CBJ
Dmitry Kulikov,D,FLA
Dmitry Orlov,D,S.J
Domenick Fensore,D,CAR
Dominic James,C,T.B
Dominic Toninato,C,CHI
Donovan Sebrango,D,"FLA, OTT"
Dougie Hamilton,D,N.J
Drake Batherson,R,OTT
Drew Doughty,D,L.A
Drew Helleson,D,ANA
Drew O'Connor,L,VAN
Dryden Hunt,L,CGY
Dustin Wolf,G,CGY
Dylan Cozens,C,OTT
Dylan DeMelo,D,WPG
Dylan Guenther,R,UTA
Dylan Holloway,L,STL
Dylan Larkin,C,DET
Dylan McIlrath,D,WSH
Dylan Samberg,D,WPG
Dylan Strome,C,WSH
Dysin Mayo,D,CBJ
Easton Cowan,R,TOR
Eeli Tolvanen,R,SEA
Eetu Luostarinen,C,FLA
Egor Zamula,D,PHI
Elias Lindholm,C,BOS
Elias Pettersson,D,VAN
Elias Pettersson,C,VAN
Elias Salomonsson,D,WPG
Elmer Soderblom,L,DET
Elvis Merzlikins,G,CBJ
Emil Andrae,D,PHI
Emil Heineman,L,NYI
Emil Lilleberg,D,T.B
Emmitt Finnie,C,DET
Eric Comrie,G,WPG
Eric Robinson,L,CAR
Erik Cernak,D,T.B
Erik Gudbranson,D,CBJ
Erik Gustafsson,D,DET
Erik Haula,L,NSH
Erik Karlsson,D,PIT
Esa Lindell,D,DAL
Ethan Cardwell,R,S.J
Ethan Del Mastro,D,CHI
Ethen Frank,C,WSH
Evan Bouchard,D,EDM
Evan Rodrigues,C,FLA
Evander Kane,L,VAN
Evgeni Malkin,C,PIT
Evgenii Dadonov,L,N.J
Fabian Zetterlund,L,OTT
Fedor Svechkov,C,NSH
Filip Chytil,C,VAN
Filip Forsberg,L,NSH
Filip Gustavsson,G,MIN
Filip Hallander,C,PIT
Filip Hronek,D,VAN
Florian Xhekaj,L,MTL
Frank Nazar,C,CHI
Frank Vatrano,R,ANA
Fraser Minten,C,BOS
Frederic Gaudreau,C,SEA
Frederik Andersen,G,CAR
Gabe Perreault,R,NYR
Gabriel Landeskog,L,COL
Gabriel Vilardi,C,WPG
Gage Goncalves,C,T.B
Garnet Hathaway,R,PHI
Gavin Brindley,C,COL
Georgii Merkulov,C,BOS
Gustav Forsling,D,FLA
Gustav Nyquist,R,WPG
Hampus Lindholm,D,BOS
Harrison Brunicke,D,PIT
Hayden Hodgson,R,OTT
Haydn Fleury,D,WPG
Hendrix Lapierre,C,WSH
Henri Jokiharju,D,BOS
Henry Thrun,D,TOR
Hugh McGing,L,STL
Hunter Brzustewicz,D,CGY
Hunter Haight,C,MIN
Hunter Skinner,D,STL
Ian Cole,D,UTA
Ian Moore,D,ANA
Igor Chernyshov,L,S.J
Igor Shesterkin,G,NYR
Ilya Lyubushkin,D,DAL
Ilya Mikheyev,R,CHI
Ilya Solovyov,D,COL
Ilya Sorokin,G,NYI
Isaac Howard,L,EDM
Isac Lundeström,C,CBJ
Isak Rosen,R,BUF
Ivan Barbashev,L,VGK
Ivan Demidov,R,MTL
Ivan Ivan,C,COL
Ivan Provorov,D,CBJ
J.J. Moser,D,T.B
J.T. Compher,L,DET
J.T. Miller,C,NYR
Jaccob Slavin,D,CAR
Jack Ahcan,D,COL
Jack Devine,R,FLA
Jack Drury,C,COL
Jack Eichel,C,VGK
Jack Finley,C,T.B
Jack Hughes,C,N.J
Jack McBain,C,UTA
Jack Quinn,R,BUF
Jack Roslovic,C,EDM
Jack St. Ivany,D,PIT
Jack Studnicka,C,FLA
Jackson Blake,R,CAR
Jackson LaCombe,D,ANA
Jacob Bernard-Docker,D,DET
Jacob Bryson,D,BUF
Jacob Fowler,G,MTL
Jacob Gaucher,C,PHI
Jacob Markstrom,G,N.J
Jacob Melanson,R,SEA
Jacob Moverare,D,L.A
Jacob Quillan,C,TOR
Jacob Trouba,D,ANA
Jaden Schwartz,L,SEA
Jake Allen,G,N.J
Jake Bean,D,CGY
Jake Christiansen,D,CBJ
Jake DeBrusk,L,VAN
Jake Evans,C,MTL
Jake Guentzel,C,T.B
Jake McCabe,D,TOR
Jake Middleton,D,MIN
Jake Neighbours,L,STL
Jake Oettinger,G,DAL
Jake Sanderson,D,OTT
Jake Walman,D,EDM
Jakob Chychrun,D,WSH
Jakob Pelletier,L,T.B
Jakub Dobes,G,MTL
Jalen Chatfield,D,CAR
James van Riemsdyk,L,DET
Jamie Benn,L,DAL
Jamie Drysdale,D,PHI
Jamie Oleksiak,D,SEA
Jani Nyman,R,SEA
Jansen Harkins,C,ANA
Jared Davidson,C,MTL
Jared McCann,L,SEA
Jared Spurgeon,D,MIN
Jaroslav Chmelar,R,NYR
Jason Dickinson,C,CHI
Jason Polin,R,COL
Jason Robertson,L,DAL
Jason Zucker,L,BUF
Jayden Struble,D,MTL
Jean-Gabriel Pageau,C,NYI
Jeff Malott,L,L.A
Jeff Petry,D,FLA
Jeff Skinner,L,S.J
Jeffrey Viel,L,BOS
Jeremy Lauzon,D,VGK
Jeremy Swayman,G,BOS
Jesper Boqvist,C,FLA
Jesper Bratt,L,N.J
Jesper Wallstedt,G,MIN
Jesperi Kotkaniemi,C,CAR
Jet Greaves,G,CBJ
Jett Luchanko,C,PHI
Jimmy Snuggerud,R,STL
Jiri Kulich,C,BUF
Jiri Patera,G,VAN
JJ Peterka,R,UTA
Joakim Kemell,R,NSH
Joe Veleno,C,MTL
Joel Armia,R,L.A
Joel Edmundson,D,L.A
Joel Eriksson Ek,C,MIN
Joel Farabee,L,CGY
Joel Hanley,D,CGY
Joel Hofer,G,STL
Joel Kiviranta,L,COL
Joel Nystrom,D,CAR
Joey Daccord,G,SEA
John Beecher,C,"BOS, CGY"
John Carlson,D,WSH
John Gibson,G,DET
John Hayden,C,SEA
John Klingberg,D,S.J
John Leonard,L,DET
John Marino,D,UTA
John Tavares,C,TOR
Jonah Gadjovich,L,FLA
Jonas Brodin,D,MIN
Jonas Johansson,G,T.B
Jonas Siegenthaler,D,N.J
Jonatan Berggren,R,DET
Jonathan Aspirot,D,BOS
Jonathan Drouin,L,NYI
Jonathan Huberdeau,L,CGY
Jonathan Lekkerimäki,R,VAN
Jonathan Marchessault,R,NSH
Jonathan Quick,G,NYR
Jonathan Toews,C,WPG
Jonny Brodzinski,C,NYR
Joona Koppanen,L,PIT
Joonas Korpisalo,G,BOS
Jordan Binnington,G,STL
Jordan Eberle,R,SEA
Jordan Greenway,L,BUF
Jordan Harris,D,BOS
Jordan Kyrou,R,STL
Jordan Martinook,L,CAR
Jordan Spence,D,OTT
Jordan Staal,C,CAR
Joseph LaBate,C,VAN
Joseph Woll,G,TOR
Josh Anderson,R,MTL
Josh Doan,R,BUF
Josh Dunne,C,BUF
Josh Manson,D,COL
Josh Morrissey,D,WPG
Josh Norris,C,BUF
Joshua Mahura,D,SEA
Joshua Roy,R,MTL
Juho Lammikko,C,N.J
Juraj Slafkovský,L,MTL
Justin Barron,D,NSH
Justin Brazeau,R,PIT
Justin Danforth,R,BUF
Justin Faulk,D,STL
Justin Hryckowian,C,DAL
Justin Kirkland,C,CGY
Justin Robidas,C,CAR
Justin Sourdif,R,WSH
Justus Annunen,G,NSH
Juuse Saros,G,NSH
Juuso Parssinen,C,NYR
K'Andre Miller,D,CAR
Kaapo Kakko,R,SEA
Kaedan Korczak,D,VGK
Kaiden Guhle,D,MTL
Kailer Yamamoto,R,UTA
Karel Vejmelka,G,UTA
Kasperi Kapanen,R,EDM
Keegan Kolesar,R,VGK
Kent Johnson,C,CBJ
Kevin Bahl,D,CGY
Kevin Fiala,L,L.A
Kevin Hayes,R,PIT
Kevin Lankinen,G,VAN
Kevin Rooney,C,UTA
Kevin Stenlund,C,UTA
Kiefer Sherwood,L,VAN
Kirby Dach,C,MTL
Kirill Kaprizov,L,MIN
Kirill Marchenko,R,CBJ
Kris Letang,D,PIT
Kurtis MacDermid,L,OTT
Kyle Capobianco,D,DAL
Kyle Connor,L,WPG
Kyle MacLean,C,NYI
Kyle Palmieri,C,NYI
Landon Slaggert,L,CHI
Lane Hutson,D,MTL
Lars Eller,C,OTT
Lawson Crouse,L,UTA
Leevi Meriläinen,G,OTT
Leo Carlsson,C,ANA
Leon Draisaitl,C,EDM
Liam O'Brien,C,UTA
Liam Ohgren,L,"MIN, VAN"
Lian Bichsel,D,DAL
Linus Karlsson,C,VAN
Linus Ullmark,G,OTT
Logan Cooley,C,UTA
Logan Mailloux,D,STL
Logan Stankoven,C,CAR
Logan Stanley,D,WPG
Logan Thompson,G,WSH
Louis Crevier,D,CHI
Luca Del Bel Belluz,C,CBJ
Luca Pinelli,C,CBJ
Lucas Raymond,L,DET
Lukas Dostal,G,ANA
Lukas Reichel,L,"CHI, VAN"
Luke Evangelista,R,NSH
Luke Glendening,C,N.J
Luke Hughes,D,N.J
Luke Kunin,C,FLA
Luke Schenn,D,WPG
Mackenzie Blackwood,G,COL
Mackenzie MacEachern,L,VAN
MacKenzie Weegar,D,CGY
Mackie Samoskevich,R,FLA
Macklin Celebrini,C,S.J
Marat Khusnutdinov,C,BOS
Marc Gatcomb,C,NYI
Marco Kasper,C,DET
Marco Rossi,C,"MIN, VAN"
Marcus Foligno,L,MIN
Marcus Johansson,L,MIN
Marcus Pettersson,D,VAN
Mario Ferraro,D,S.J
Mark Jankowski,L,CAR
Mark Kastelic,C,BOS
Mark Scheifele,C,WPG
Mark Stone,R,VGK
Marshall Warren,D,NYI
Martin Fehérváry,D,WSH
Martin Necas,C,COL
Mason Appleton,C,DET
Mason Geertsen,L,BUF
Mason Lohrei,D,BOS
Mason Marchment,L,SEA
Mason McTavish,C,ANA
Matěj Blümel,R,BOS
Mathew Barzal,C,NYI
Mathew Dumba,D,PIT
Mathieu Joseph,R,STL
Mathieu Olivier,R,CBJ
Matias Maccelli,L,TOR
Mats Zuccarello,R,MIN
Matt Boldy,L,MIN
Matt Coronato,R,CGY
Matt Duchene,C,DAL
Matt Grzelcyk,D,CHI
Matt Kiersted,D,MIN
Matt Luff,R,STL
Matt Murray,G,SEA
Matt Rempe,C,NYR
Matt Roy,D,WSH
Matt Savoie,C,EDM
Matthew Kessel,D,STL
Matthew Knies,L,TOR
Matthew Robertson,D,NYR
Matthew Schaefer,D,NYI
Matthew Wood,R,NSH
Mattias Ekholm,D,EDM
Mattias Janmark,C,EDM
Mattias Samuelsson,D,BUF
Matty Beniers,C,SEA
Matvei Gridin,R,CGY
Matvei Michkov,R,PHI
Maveric Lamoureux,D,UTA
Mavrik Bourque,C,DAL
Max Crozier,D,T.B
Max Domi,C,TOR
Max Jones,L,EDM
Max Sasson,C,VAN
Max Shabanov,R,NYI
Maxim Tsyplakov,R,NYI
Michael Amadio,R,OTT
Michael Brandsegg-Nygård,R,DET
Michael Bunting,L,NSH
Michael Callahan,D,BOS
Michael Carcone,L,UTA
Michael Eyssimont,C,BOS
Michael Kesselring,D,BUF
Michael McCarron,C,NSH
Michael Misa,C,S.J
Michael Rasmussen,C,DET
Mika Zibanejad,C,NYR
Mikael Backlund,C,CGY
Mikael Granlund,C,ANA
Mike Matheson,D,MTL
Mike Reilly,D,CAR
Mikey Anderson,D,L.A
Mikhail Sergachev,D,UTA
Mikko Rantanen,R,DAL
Miles Wood,L,CBJ
Miro Heiskanen,D,DAL
Mitch Marner,R,VGK
Mitchell Chaffee,R,T.B
Morgan Barron,C,WPG
Morgan Frost,C,CGY
Morgan Geekie,C,BOS
Morgan Rielly,D,TOR
Moritz Seider,D,DET
Nate Danielson,C,DET
Nate Schmidt,D,UTA
Nathan Bastian,R,DAL
Nathan Légaré,R,N.J
Nathan MacKinnon,C,COL
Nathan Walker,L,STL
Nazem Kadri,C,CGY
Neal Pionk,D,WPG
Nic Dowd,C,WSH
Nicholas Robertson,L,TOR
Nick Bjugstad,C,STL
Nick Blankenburg,D,NSH
Nick Cousins,C,OTT
Nick DeSimone,D,UTA
Nick Foligno,L,CHI
Nick Jensen,D,OTT
Nick Lardis,L,CHI
Nick Leddy,D,S.J
Nick Paul,L,T.B
Nick Perbix,D,NSH
Nick Schmaltz,C,UTA
Nick Seeler,D,PHI
Nick Suzuki,C,MTL
Nico Daws,G,N.J
Nico Hischier,C,N.J
Nico Sturm,C,MIN
Nicolas Aube-Kubel,R,MIN
Nicolas Deslauriers,L,PHI
Nicolas Hague,D,NSH
Nicolas Roy,C,TOR
Nikita Chibrikov,R,WPG
Nikita Grebenkin,R,PHI
Nikita Kucherov,R,T.B
Nikita Nesterenko,C,ANA
Nikita Tolopilo,G,VAN
Nikita Zadorov,D,BOS
Niko Mikkola,D,FLA
Nikolaj Ehlers,L,CAR
Nikolas Matinpalo,D,OTT
Nils Aman,C,VAN
Nils Hoglander,L,VAN
Nils Lundkvist,D,DAL
Nino Niederreiter,R,WPG
Noah Cates,L,PHI
Noah Dobson,D,MTL
Noah Gregor,L,FLA
Noah Hanifin,D,VGK
Noah Juulsen,D,PHI
Noah Laba,C,NYR
Noah Ostlund,C,BUF
Noah Philp,C,EDM
Noel Acciari,C,PIT
Olen Zellweger,D,ANA
Oliver Bjorkstrand,R,T.B
Oliver Ekman-Larsson,D,TOR
Oliver Kapanen,C,MTL
Oliver Moore,C,CHI
Olle Lycksell,R,OTT
Olli Määttä,D,UTA
Ondrej Palat,L,N.J
Oscar Fisker Molgaard,C,SEA
Oskar Bäck,C,DAL
Oskar Sundqvist,C,STL
Owen Beck,C,MTL
Owen Pickering,D,PIT
Owen Power,D,BUF
Owen Tippett,R,PHI
Ozzy Wiesblatt,C,NSH
P.O Joseph,D,VAN
Parker Ford,C,WPG
Parker Kelly,C,COL
Parker Wotherspoon,D,PIT
Patrick Giles,R,S.J
Patrick Kane,R,DET
Patrik Laine,L,MTL
Paul Cotter,L,N.J
Pavel Buchnevich,L,STL
Pavel Dorofeyev,R,VGK
Pavel Mintyukov,D,ANA
Pavel Zacha,C,BOS
Pavol Regenda,L,S.J
Petr Mrazek,G,ANA
Peyton Krebs,C,BUF
Philip Broberg,D,STL
Philip Tomasino,R,PIT
Philipp Grubauer,G,SEA
Philipp Kurashev,C,S.J
Philippe Myers,D,TOR
Phillip Danault,C,L.A
Pierre-Luc Dubois,L,WSH
Pius Suter,C,STL
Pontus Holmberg,R,T.B
Pyotr Kochetkov,G,CAR
Quinn Hughes,D,"MIN, VAN"
Quinn Hutson,R,EDM
Quinton Byfield,R,L.A
Radek Faksa,C,DAL
Radko Gudas,D,ANA
Rasmus Andersson,D,CGY
Rasmus Dahlin,D,BUF
Rasmus Ristolainen,D,PHI
Rasmus Sandin,D,WSH
Reid Schaefer,L,NSH
Reilly Smith,R,VGK
Rickard Rakell,R,PIT
Ridly Greig,C,OTT
Riley Tufte,L,BOS
Robby Fabbri,C,STL
Robert Thomas,C,STL
Rodrigo Abols,C,PHI
Roman Josi,D,NSH
Roope Hintz,C,DAL
Rory Kerins,C,CGY
Ross Colton,C,COL
Ross Johnston,L,ANA
Rutger McGroarty,R,PIT
Ryan Donato,C,CHI
Ryan Graves,D,PIT
Ryan Greene,C,CHI
Ryan Hartman,R,MIN
Ryan Johnson,D,BUF
Ryan Leonard,R,WSH
Ryan Lindgren,D,SEA
Ryan Lomberg,L,CGY
Ryan McDonagh,D,T.B
Ryan McLeod,C,BUF
Ryan Nugent-Hopkins,C,EDM
Ryan O'Reilly,C,NSH
Ryan Poehling,C,ANA
Ryan Pulock,D,NYI
Ryan Reaves,R,S.J
Ryan Shea,D,PIT
Ryan Strome,C,ANA
Ryan Winterton,C,SEA
Ryker Evans,D,SEA
Sam Bennett,C,FLA
Sam Carrick,C,NYR
Sam Colangelo,R,ANA
Sam Dickinson,D,S.J
Sam Lafferty,C,CHI
Sam Malinski,D,COL
Sam Montembeault,G,MTL
Sam Morton,C,CGY
Sam Poulin,R,PIT
Sam Reinhart,C,FLA
Sam Rinzel,D,CHI
Sam Steel,C,DAL
Sammy Blais,L,TOR
Samuel Ersson,G,PHI
Samuel Girard,D,COL
Samuel Helenius,C,L.A
Samuel Honzek,L,CGY
Samuel Montembeault,G,MTL
Scott Laughton,C,TOR
Scott Mayfield,D,NYI
Scott Morrow,D,NYR
Scott Sabourin,R,T.B
Scott Wedgewood,G,COL
Seamus Casey,D,N.J
Sean Couturier,C,PHI
Sean Durzi,D,UTA
Sean Kuraly,C,BOS
Sean Monahan,C,CBJ
Sean Walker,D,CAR
Sebastian Aho,C,CAR
Sergei Bobrovsky,G,FLA
Sergei Murashov,G,PIT
Seth Jarvis,C,CAR
Seth Jones,D,FLA
Shakir Mukhamadullin,D,S.J
Shane Lachance,L,N.J
Shane Pinto,C,OTT
Shane Wright,C,SEA
Shayne Gostisbehere,D,CAR
Shea Theodore,D,VGK
Sidney Crosby,C,PIT
Simon Benoit,D,TOR
Simon Edvinsson,D,DET
Simon Holmstrom,R,NYI
Simon Nemec,D,N.J
Sonny Milano,L,WSH
Spencer Knight,G,CHI
Spencer Stastney,D,"EDM, NSH"
Stefan Noesen,R,N.J
Stephen Halliday,C,OTT
Steven Lorentz,C,TOR
Steven Santini,D,T.B
Steven Stamkos,C,NSH
Stuart Skinner,G,"EDM, PIT"
Tage Thompson,C,BUF
Tanner Jeannot,L,BOS
Tanner Pearson,L,WPG
Taylor Hall,L,CAR
Taylor Makar,L,COL
Taylor Raddysh,R,NYR
Teddy Blueger,C,VAN
Teuvo Teravainen,C,CHI
Thatcher Demko,G,VAN
Thomas Chabot,D,OTT
Thomas Harley,D,DAL
Thomas Milic,G,WPG
Tim Stützle,C,OTT
Timo Meier,R,N.J
Timothy Liljegren,D,S.J
Tom Willander,D,VAN
Tom Wilson,R,WSH
Tomas Hertl,C,VGK
Tommy Novak,C,PIT
Tony DeAngelo,D,NYI
Travis Hamonic,D,DET
Travis Konecny,R,PHI
Travis Mitchell,D,NYI
Travis Sanheim,D,PHI
Trent Frederic,C,EDM
Trent Miner,G,COL
Trevor Kuntar,C,BUF
Trevor Moore,L,L.A
Trevor van Riemsdyk,D,WSH
Trevor Zegras,C,PHI
Tristan Broz,C,PIT
Tristan Jarry,G,"EDM, PIT"
Tristen Nielsen,C,COL
Troy Stecher,D,"EDM, TOR"
Troy Terry,R,ANA
Ty Dellandrea,C,S.J
Ty Emberson,D,EDM
Ty Murchison,D,PHI
Tye Kartye,L,SEA
Tyler Bertuzzi,L,CHI
Tyler Kleven,D,OTT
Tyler Myers,D,VAN
Tyler Pitlick,C,MIN
Tyler Seguin,C,DAL
Tyler Toffoli,C,S.J
Tyler Tucker,D,STL
Tyson Foerster,R,PHI
Tyson Jost,C,NSH
Tyson Kozak,C,BUF
Ukko-Pekka Luukkonen,G,BUF
Urho Vaakanainen,D,NYR
Uvis Balinskis,D,FLA
Valeri Nichushkin,R,COL
Vasily Podkolzin,R,EDM
Victor Hedman,D,T.B
Victor Mancini,D,VAN
Victor Olofsson,L,COL
Victor Soderstrom,D,BOS
Viktor Arvidsson,L,BOS
Ville Husso,G,ANA
Ville Koivunen,R,PIT
Vince Dunn,D,SEA
Vincent Desharnais,D,S.J
Vincent Iorio,D,S.J
Vincent Trocheck,C,NYR
Vinnie Hinostroza,C,MIN
Vitek Vanecek,G,UTA
Vladimir Tarasenko,R,MIN
Vladislav Gavrikov,D,NYR
Vladislav Kolyachonok,D,DAL
Vladislav Namestnikov,C,WPG
Vyacheslav Buteyets,G,ANA
Warren Foegele,L,L.A
Will Borgen,D,NYR
Will Cuylle,L,NYR
Will Smith,C,S.J
William Carrier,L,CAR
William Eklund,L,S.J
William Karlsson,C,VGK
William Nylander,R,TOR
Wyatt Johnston,C,DAL
Wyatt Kaiser,D,CHI
Xavier Parent,C,N.J
Yakov Trenin,C,MIN
Yan Kuznetsov,D,CGY
Yanni Gourde,C,T.B
Yaroslav Askarov,G,S.J
Yegor Chinakhov,R,CBJ
Yegor Sharangovich,C,CGY
Zach Aston-Reese,"C, L",CBJ
Zach Benson,L,BUF
Zach Bogosian,D,MIN
Zach Hyman,L,EDM
Zach Metsa,D,BUF
Zach Werenski,D,CBJ
Zach Whitecloud,D,VGK
Zachary Bolduc,R,MTL
Zack Bolduc,R,MTL
Zack MacEwen,R,N.J
Zack Ostapchuk,C,S.J
Zakhar Bardakov,C,COL
Zayne Parekh,D,CGY
Zeev Buium,D,"MIN, VAN"
Zemgus Girgensons,C,T.B